Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,dns,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Fuzzy_Hashing,Perceptual_Hashing,Label
edisonlearning.com,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1
insyncvideo.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
doctorww.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
asx-exs-trade.com,0,0,0,2,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1
hexe.in,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
dep.net,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
goodsdesign.com.tw,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
ulsm.pt,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
online-stylesheet.pages.dev,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1
sfr-therapy.com,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1
magic.ly,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
is-a-soxfan.org,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1
fotos.lc,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
lokalised.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
rftjrsrv.net,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
sporsho.org,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
alcuinwilkie383.wixsite.com,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
ancient-wave-738c.8p4uyjee.workers.dev,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1
