url,hash_value,img_path,html,fuzzy_hash_value
https://500px.com/photo/12961627/tapa-fuji-x10-by-dragox-photo-?from=set&set_id=386725,ff8f8f8f8fcfc7c7,C:\Users\R\Downloads\phishing\screenshot_legitimate\screenshot_1.png,,768:gyCnQTfzh0nslQSYCJcS5warNpn/fnku3Qd4F+gCHGTj+IH:cQT7cs6STnHku3QW6i+s
https://archive.org/details/universallibrary?and[]=mediatype:texts&sort=-publicdate,00ffffffffc3ffff,C:\Users\R\Downloads\phishing\screenshot_legitimate\screenshot_2.png,,48:CKShcvBhYlKhIS9Tg7ZhE9WyfHKWF6Z/9fBJzwC+gQ98TzHZ:DShcvBrh95g1hcxVoZ1PsC+gG8Tz5
https://css-tricks.com/lodge/learn-jquery/01-welcome-to-the-learning-jquery-course/,007c18fcc4848484,C:\Users\R\Downloads\phishing\screenshot_legitimate\screenshot_3.png,,768:jcDIC8Zd2dUdjdfZdapNBQN9KtRyvS9p12N7p3h57U14l/ja4FNRg9EIjVJ3brSJ:j5Ce0eRVap/Q/dQVJLejQrV6fM50NH
https://fortune.com/2014/08/13/cisco-tops-earnings-estimates-but-slashes-6000-jobs/,fffffffdfff181e1,C:\Users\R\Downloads\phishing\screenshot_legitimate\screenshot_4.png,,1536:NO9n0uNl0hfV4EQ54dd+Nc9Gd5ywo38DsWiyQwbKhNA7eDf1JDjbxQB5jXhVlVTA:Ngl4+d5LbKhNAVTJ8NgLoPMJtUV37263
https://grantland.com/the-triangle/mlb-the-30-rangers-reds-cubs-tigers-baserunning/,ffc3c3ffc7c7c7c3,C:\Users\R\Downloads\phishing\screenshot_legitimate\screenshot_5.png,,1536:poAapepOFOdQV44Jaufx5ceMn0BBrE/LKAF:KfEpWOdQfJ5fxSncByLZF
https://grantland.com/the-triangle/claw-school-kawhi-leonards-defensive-master-class/,ffc3c3dfc7c7c3c3,C:\Users\R\Downloads\phishing\screenshot_legitimate\screenshot_6.png,,768:F6IeZdapNOu1sWOd3ZpNlygGBIj1VvMY/FVxzsPP02QBrYn/LzpAF:FAapeWYonMFon0BBra/LtAF
https://medium.com/@Manda_like_wine/this-is-for-you-duke-8ad31c970503?source=latest,ff0000ffffffffff,C:\Users\R\Downloads\phishing\screenshot_legitimate\screenshot_7.png,,1536:QgPWF29f186eiPgSqFXPgNPg8fyHKawhtLR+yk:QgPWFcPgSkXPgNPg8aHKawhhPk
https://serverfault.com/questions/149290/how-do-i-install-a-centos-5-5-in-xenserver,00ffffff3f3f3f3f,C:\Users\R\Downloads\phishing\screenshot_legitimate\screenshot_8.png,,1536:FipkPMAwYaMaTzLAxGeYMOrNRkL+KHqe54vNlzfO6ENoYic8zI8xRIn5yc8Y54/t:FipkPS9FzNcOnkLdHP5Y7Qyc8E49BfZ
https://soundcloud.com/marckinchen/wankelmut-emma-louise-my-head-is-a-jungle-mk-remix,0000000000ffffff,C:\Users\R\Downloads\phishing\screenshot_legitimate\screenshot_9.png,,768:Ft3ow0qEFukPHFXRCMDCYfwAhdrGWtADXrNxOyXj:FtYFq6z/FXRcYfwwAvPOyXj
https://soundcloud.com/hand144/see-you-again-paul-walker-tribute-fast-and-furious-8,0000000000ffffff,C:\Users\R\Downloads\phishing\screenshot_legitimate\screenshot_10.png,,384:m6ltLQajg70ajs8itrxqx3uh4SPSFAFPW6FXR3hY+0vbWxGvb6AFk7MFBRXSlfxo:xtL3qEFukPHFXR3hdxGWtADXSNxo
https://soundcloud.com/housemusic/summertime-sadness-by-lana-del-cedric-gervais-remix,0000000000ffffff,C:\Users\R\Downloads\phishing\screenshot_legitimate\screenshot_11.png,,768:8tE+GqEFukPHFXRyMqfX3MlMFhdsGWtADXrNxt2MI:8t4q6z/FXRyMlMnDvPtg
https://github.com/amanchadha/coursera-deep-learning-specialization,00ffffffffffffdf,C:\Users\R\Downloads\phishing\screenshot_legitimate\screenshot_12.png,,12288:o81QLMOcQARXJ43kLAxZCrYCdlzLn730WYZrfAhw1nfe66GKXnrEB5Vlw4thUv+T:o83dnwh
https://prezi.com/ytniorzhkciw/mrs-sporty-integrated-interactive-marketing-campaign/,00003d3d3d3cffff,C:\Users\R\Downloads\phishing\screenshot_legitimate\screenshot_13.png,,768:Pmn7hKu9hMppVRxKQHfYaq/CMZ76JY4OmFzkjaaLEY0Y8s8ADSrwoDDA3pduFO7x:P4FKu9hcpVRxdHfYH1
https://dribbble.com/shots/1269523-Sperant-mobile-sidebar-concepts/attachments/174429,fee7c3c7c7c7c7c7,C:\Users\R\Downloads\phishing\screenshot_legitimate\screenshot_14.png,,192:fems+dmcni6GcuMadhaLnkbDPPtk0E82Y5gmPrpyddNrIv6QJua3BaUN4vQFsVjb:fls+dmcni6GcZadhaLnWDmsWmPr2HrIk
https://dribbble.com/shots/1679286-Rings-Social-Network-Buttons-in-Circle-PSD-freebie,fecfd9e7c7c7c3c3,C:\Users\R\Downloads\phishing\screenshot_legitimate\screenshot_15.png,,768:3aHejHOoM9B1dm5Ph8jehIMJDwxJZWY6SUUKCCvTcGHJbsR/YbWJqUWSeDB6vPS6:RjTnY63otH97SIAI1F5
https://dribbble.com/shots/2021294-Broadsword-Responsive-WordPress-Theme-for-Blogging,fefffbffc3c3c3c3,C:\Users\R\Downloads\phishing\screenshot_legitimate\screenshot_16.png,,768:VLaHejHOoM9B1dm5PX8jehIMJD7Wfv3T6SUUKCCvTcyu9gsuNJA/M/JzjxDhhuTp:jjTWT631Q1l7EIAItLGO
https://lastpass.com/index.php?&ac=1&lpnorefresh=1&fromwebsite=1&newvault=1&nk=1&nk=1,ffffffffe7ffff00,C:\Users\R\Downloads\phishing\screenshot_legitimate\screenshot_17.png,,6144:3h2+bji4uPHhYo0fwkAi7OCrPtohyjGR3x6uJX6VdSlsR7QZYO0MpdGjiWgmsfTb:R2+bji4uPHhYo0fwkAi7OCrPtohyjGRP
https://github.com/gangeshbaskerr,009f9f9ffffbfbff,C:\Users\R\Downloads\phishing\screenshot_legitimate\screenshot_18.png,,3072:vdZZwCH9mWN7FMOcQARXJ43kLAxZCrYudfzLn7SG0W1tUZrJlHghw1HHfe66GW37:lZZwCUWN7FMOcQARXJ43kLAxZCrYudf7
https://github.com/gangeshbaskerr?tab=repositories,009f9f9fffffffff,C:\Users\R\Downloads\phishing\screenshot_legitimate\screenshot_19.png,,3072:xwZZwCgHmWN7tMOcQARXJ43kLAxZCrY+d+zLn7SG0W1tUZrJlHghw1HHfe66GW3/:mZZwClWN7tMOcQARXJ43kLAxZCrY+d+/
https://github.com/gangeshbaskerr/Phishing-Website-Detection,00fffbffffffffff,C:\Users\R\Downloads\phishing\screenshot_legitimate\screenshot_20.png,,12288:B81QWMOcQARXJ43kLAxZCrYrd5zLn730WYZrfAhw1nfe66GKXnrEB5Vlw4t5U3xQ:B86dn6s
